0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:02:15 +0530] "GET /LetzChat/Group/CreateGroup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/JQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/BootStrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/ng-file-upload-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/ng-file-upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/lib/upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/js/app.js HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/Controller/GroupService.js HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:48 +0530] "GET /LetzChat/Controller/GroupController.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:49 +0530] "GET /LetzChat/Chat/ChatHome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:49 +0530] "GET /LetzChat/Home/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Aug/2017:23:13:53 +0530] "GET /LetzChat/ HTTP/1.1" 304 -
